temperatura,umidade,contagem
33.32266864832491,65.97503977594897,16
26.401060316711664,46.771194958128035,3
27.67834829632193,81.94615179440007,11
27.339688348583877,59.901500118430704,8
20.188964707776904,44.56564795458689,1
25.396484709344804,67.61338690761477,5
32.97283227555454,66.19268185226247,20
34.56515474244952,48.60683801583946,16
22.181216133758426,51.722519260365516,3
29.345136280171573,78.96535524399951,15
34.76862347219139,54.1850573127158,8
30.683501162566245,47.853619602974504,8
32.03949458897114,59.69146092887968,6
25.55134362541139,83.49986936431378,14
23.29356898088008,67.65015014447272,7
28.503329241648316,79.69840386416763,10
29.787922431714833,68.60830187564716,13
31.639951108954847,82.02180330175906,14
21.432258086279035,79.16560480138287,1
20.9884846303612,44.885197000112385,1
33.526925556361675,69.77837887592614,22
34.417944103479385,67.2881863755174,18
18.311686725355685,69.93870977079496,3
28.222320987842977,41.00455569336191,4
18.94687298219651,56.05344305280596,4
17.516583646647632,56.02402982534841,1
27.99137252382934,70.79731988254935,9
25.185810537077487,84.58251777105033,4
20.798121178522706,64.3043232592754,2
28.92415710259229,84.1114868153818,11
29.232680001296103,57.981205170508474,8
27.11086142808199,53.808629487175494,9
22.98862245399505,78.87879773974419,11
32.699482846073806,77.04885276965797,13
22.354882331565022,60.91629963833839,8
21.444075414910913,87.60439575184137,13
25.17360534518957,77.82514014746994,6
27.580655049532652,80.52795004099607,8
27.081030192784965,85.5922920606099,5
17.20816106069833,89.17943364707753,6
29.798329072073102,49.622265642974526,9
19.581675082445145,48.7523658410646,4
27.260436564683914,56.23364535626024,8
33.31869026180357,85.3721541678533,16
25.35629380028695,82.69440531497821,12
22.097600428387523,80.35824509337544,6
16.353762880899012,81.78346948465332,3
26.458342354744673,76.63054574280977,11
15.78354921657592,64.1823852295056,2
27.89664805866778,88.43228758545592,7
33.83442317601293,89.16894601192325,21
24.264460266567767,73.53310351958498,6
32.84823479130864,82.1503653167747,15
34.24396681599319,64.34645367320627,22
34.16159715503454,87.9977505048737,27
34.23720879480243,62.31297267135233,20
21.852663354948163,49.485955454874784,4
33.29107172321528,84.0856373286806,20
28.717367742210627,81.54566032812,12
18.689124868251383,74.1632408904843,0
23.715034406632185,89.33660842943937,8
30.03813535440713,82.20794856082648,15
22.59349562227726,78.23718944331631,4
20.191266066394746,89.70221534604207,5
33.61363375093788,84.54591471003368,18
25.934924632310867,54.37758862739429,7
31.6923256078735,45.50421088701114,5
24.10709704272449,68.60524606658146,8
28.786738230846822,73.35004079854116,11
20.355767458677292,69.23215742921457,4
26.632028305903077,58.77695978619158,6
32.13116991799325,49.21601544832811,6
27.52830760087818,42.63097062706947,4
22.237093369476497,54.81800111941993,4
19.557597087696195,59.385199213866144,5
27.29722450952977,49.871033183299005,7
26.958884741179645,61.58753853291273,6
33.242209712043405,60.05044341785833,7
23.901409492827952,77.64494367642328,9
19.988782443106174,56.76547573879361,3
21.923082950524986,54.0228480566293,1
20.331775867380202,47.8344272216782,1
25.610873866826296,42.959342242684215,3
22.10932909976691,54.33000585529953,2
21.11209344584495,42.531359740532935,3
23.171919039450586,80.11807813076302,6
29.65496758930385,89.16109533514827,12
26.704588951542974,69.12298524752259,8
29.30549626238644,42.09377595456317,8
30.500321886502206,40.32556225778535,5
21.131563764065504,46.284685782156885,3
28.367055007256567,76.52635043254122,13
19.722743220627308,48.134804805740714,3
22.692649709060788,53.837223674636334,2
18.02332630380988,84.84921986004338,6
22.651346302591264,66.90368288895115,5
17.714440538547933,41.28111792728305,2
18.305246266536415,50.65044105052948,6
30.66953190602362,69.14883029880002,17
18.841081950813532,85.34105986822397,10
